Iteration;Experiment;Strategy;Routing;Defense;ReconfigTime;Total Links Added;Links Added;Total Flux Links;Total Links Dropped;Links Dropped;Congestion;Loss;Throughput;Link Bandwidth Coefficient;Demand Factor;
1;Comcast_semimcfraekeft-TE-Comcast-background-plus-flashcrowd-1.0_0__-semimcfraekeft;-semimcfraekeft TE;SEMIMCFRAEKEFT;TE;0;0;[];0;0;[];4.515357;0.617788;0.382169;1;1.633346;
1;Comcast_semimcfraekeft-TE-Comcast-background-0.9_0__-semimcfraekeft;-semimcfraekeft TE;SEMIMCFRAEKEFT;TE;0;0;[];0;0;[];1.409236;0.118576;0.881395;1;1.0893357;
1;Comcast_semimcfraekeft-TBE-Comcast-background-0.7_0__-semimcfraekeft;-semimcfraekeft TBE;SEMIMCFRAEKEFT;TBE;0;0;[];0;0;[];1.344775;0.152723;0.847224;1;0.8472610999999999;
2;Comcast_semimcfraekeft-greylambda-Comcast-background-0.4_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];0;0;[];0.621473;0.0;0.999979;1;0.4841492;
1;Comcast_mcf-greylambda-Comcast-background-plus-flashcrowd-0.9_2__-mcf;2;Comcast_semimcfraekeft-greylambda-Comcast-background-plus-flashcrowd-0.8_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];69;0;[];3.973821;0.554409;0.445415;1;1.3066768;
1;Comcast_semimcfraekeft-TBE-Comcast-background-plus-flashcrowd-0.7_0__-semimcfraekeft;-semimcfraekeft TBE;SEMIMCFRAEKEFT;TBE;0;0;[];0;0;[];4.295989;0.57965;0.42029;1;1.1433422;
1;Comcast_semimcfraekeft-TE-Comcast-background-0.4_0__-semimcfraekeft;-semimcfraekeft TE;SEMIMCFRAEKEFT;TE;0;0;[];0;0;[];0.616704;0.0;0.999825;1;0.4841492;
2;Comcast_semimcfraekeft-greylambda-Comcast-background-0.6_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];0;0;[];0.854287;0.0;0.99998;1;0.7262238;
1;Comcast_mcf-TBE-Comcast-background-0.5_0__-mcf;1;Comcast_mcf-TE-Comcast-background-plus-flashcrowd-1.4_0__-mcf;1;Comcast_semimcfraekeft-TBE-Comcast-background-0.8_0__-semimcfraekeft;-semimcfraekeft TBE;SEMIMCFRAEKEFT;TBE;0;0;[];0;0;[];1.427891;0.217063;0.782861;1;0.9682984;
1;Comcast_mcf-greylambda-Comcast-background-0.3_2__-mcf;2;Comcast_semimcfraekeft-greylambda-Comcast-background-0.8_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];13;0;[];1.607002;0.164314;0.835529;1;0.9682984;
1;Comcast_semimcfraekeft-TBE-Comcast-background-plus-flashcrowd-1.4_0__-semimcfraekeft;-semimcfraekeft TBE;SEMIMCFRAEKEFT;TBE;0;0;[];0;0;[];8.204769;0.774501;0.225452;1;2.2866844;
